Customer,Age,Gender,Region,Category,Sales_Amount,Loyalty_Status,Ad_Budget_Expenditure
Ali,35,Female,Abu Dhabi,Grocery,893.32,Gold,4111.01
Noor,43,Male,Abu Dhabi,Clothing,383.37,Gold,9071.1
Fatima,51,Male,Abu Dhabi,Grocery,161.21,Gold,5265.65
Lina,27,Female,Dubai,Grocery,185.84,Gold,7008.02
Fatima,53,Male,Dubai,Clothing,773.44,Platinum,2550.88
Hassan,31,Male,Dubai,Electronic,637.31,Silver,2730.6
Mona,48,Male,Sharjah,Clothing,146.07,Silver,1367.82
John,32,Male,Fujairah,Grocery,129.9,Platinum,2520.42
John,25,Male,Abu Dhabi,Grocery,715.92,Silver,3507.31
Noor,31,Male,Abu Dhabi,Clothing,119.12,Gold,2593.09
Mona,40,Female,Sharjah,Electronic,830.77,Silver,1798.32
Omar,57,Female,Abu Dhabi,Grocery,720.93,Gold,2085.72
Sara,38,Male,Dubai,Grocery,127.28,Platinum,5147.01
Ali,33,Female,Fujairah,Grocery,130.6,Silver,2857.0
John,35,Female,Ajman,Clothing,987.31,Platinum,4278.43
Ahmed,41,Female,Abu Dhabi,Grocery,405.56,Silver,5530.76
John,43,Female,Dubai,Electronic,402.11,Gold,7213.55
Fatima,42,Male,Ajman,Grocery,822.16,Platinum,1353.81
John,58,Female,Fujairah,Grocery,949.89,Silver,8194.69
John,46,Female,Ajman,Electronic,986.7,Gold,6651.1
Sara,32,Male,Dubai,Grocery,765.71,Platinum,1735.83
Sara,18,Male,Ajman,Clothing,407.45,Platinum,8862.21
Lina,42,Female,Sharjah,Clothing,129.33,Silver,9287.85
Omar,24,Female,Ajman,Clothing,788.29,Silver,1549.7
Ahmed,26,Female,Abu Dhabi,Electronic,580.48,Silver,3491.9
John,41,Female,Abu Dhabi,Grocery,453.01,Gold,8255.81
John,18,Female,Sharjah,Clothing,911.04,Silver,7734.34
Ali,25,Female,Dubai,Electronic,155.64,Platinum,2660.69
Sara,41,Male,Abu Dhabi,Grocery,517.99,Platinum,2884.14
Ahmed,28,Female,Fujairah,Electronic,60.79,Silver,4334.25
Noor,34,Female,Abu Dhabi,Clothing,495.23,Silver,5360.71
Lina,25,Male,Abu Dhabi,Clothing,103.49,Platinum,6564.29
Omar,52,Male,Dubai,Clothing,162.88,Gold,4320.22
Mona,52,Male,Ajman,Electronic,161.65,Silver,5162.81
Omar,50,Male,Abu Dhabi,Electronic,666.75,Silver,7727.24
Fatima,22,Female,Sharjah,Clothing,758.74,Platinum,1330.15
John,59,Female,Ajman,Electronic,604.2,Silver,3271.93
Lina,56,Female,Fujairah,Clothing,964.06,Gold,7420.15
Fatima,58,Female,Dubai,Clothing,406.13,Platinum,9056.86
Ahmed,45,Female,Fujairah,Grocery,321.43,Silver,5605.1
Mona,24,Female,Ajman,Electronic,875.17,Platinum,5789.02
